分類,興味づけワード,限定性,希少性,具体性,初心者向け,時間・期間,権威性,損失回避・恐怖訴求,ベネフィット訴求,再現性,常識破壊
ベネフィット訴求,インプもエンゲージもフォロワーも売上も伸びまくってる,,裏側を詰め込んだ,テーマ別タイトル〇〇案(○は数字),DMしなくても,,,3ヶ月後に発信が途絶える,インプもエンゲージもフォロワーも売上も伸びまくってる,,AIとか使わずに超アナログな方法
希少性,こっそりやってる方法,,通常なら絶対に喋らない,3ヶ月後,初心者にも優しめAI設計,,,時間のない副業勢,脳内を書き換える,,バズらせることではなく反応される構造を作る
希少性,トップランカー達,,裏話,初心者の9割,いいねは増えるのに売れない,,,悩む時間,興味ない → 欲しい状態,,プロンプトゼロでOK
希少性,特別にちょっと暴露,,ちょっとキケンな戦略,「広告業界で30年以上」,フォロワーはいるのに誰も買わない,,,なくしたもん勝ち,,,凍◯結しても復活できる
希少性,最後まで見た方限定,,暴露的ロードマップ,「コピーライター／クリエイティブディレクター」,才能の問題じゃない,,,「薄っぺらい文章を量産していないでしょうか？」,,,
希少性,条件クリア,,60分で暴露,「部下の指導100名超」,初心者の9割,,,「AIで書いたな、と瞬時に見抜かれ、読者は離脱」,,,
希少性,伝説のスペース,,表に出さないで,「10の秘技」,最初につまずく,,,「信頼を失う」,,,
希少性,丸ごと要約,,至高の内容,「フレーズ300選」,ネタ探し,,,「一度失った信頼を取り戻すのは至難の業」,,,
希少性,ついに公開,,無料の域を超えてる,「10の実践テクニック」,書くことが思いつかない,,,「売り込み感や圧迫感を与える」,,,
希少性,売れる人だけがやってる,,,実績ゼロの会社員,手が止まる,,,「食傷気味」,,,
希少性,早めに,,,3日で2.9万円,,,,「AI検出ツール時代（検出ツールが怖い）」,,,
希少性,答え,,,インプを10倍20倍,,,,,,,
希少性,60分越えの動画,,,〇〇で実際に〇〇〇〇を作っている実演動画,,,,,,,
希少性,強者を分析してわかった,,,,,,,,,,
希少性,1500以上を分析して導き出した共通点,,,,,,,,,,
希少性,地味だけど即効性がある,,,,,,,,,,
希少性,投稿の1箇所をちょっと変えただけ,,,,,,,,,,
希少性,たった1つだけ意識する,,,,,,,,,,
希少性,裏側を詰め込んだ,,,,,,,,,,
恐怖訴求・損失回避,一生、届かない発信,,,,,,,,,,
恐怖訴求・損失回避,必ず読んでください,,,,,,,,,,
恐怖訴求・損失回避,本気で安すぎる,,,,,,,,,,
恐怖訴求・損失回避,なぜ皆、Xを頑張っても収益化につながらないのか,,,,,,,,,,
恐怖訴求・損失回避,発信に反応つかない,,,,,,,,,,
恐怖訴求・損失回避,DMのやり取りは苦手,,,,,,,,,,
恐怖訴求・損失回避,実績がない状態,,,,,,,,,,
恐怖訴求・損失回避,SNS伸びてない人全員共通点がある,,,,,,,,,,
禁断感・希少性,通常なら絶対に喋らない,,,,,,,,,,
禁断感・希少性,裏話,,,,,,,,,,
禁断感・希少性,ちょっとキケンな戦略,,,,,,,,,,
禁断感・希少性,暴露的ロードマップ,,,,,,,,,,
禁断感・希少性,60分で暴露,,,,,,,,,,
禁断感・希少性,表に出さないで,,,,,,,,,,
禁断感・希少性,至高の内容,,,,,,,,,,
禁断感・希少性,無料の域を超えてる,,,,,,,,,,
具体性,月５万,,,,,,,,,,
具体性,月1万円,,,,,,,,,,
具体性,月100万,,,,,,,,,,
具体性,月1000万,,,,,,,,,,
具体性,1000インプ以上,,,,,,,,,,
具体性,1日100ポスト,,,,,,,,,,
具体性,たった3つのポイント,,,,,,,,,,
具体性,○時間の動画,,,,,,,,,,
具体性,初年度〇〇〇万以上,,,,,,,,,,
具体性,累計200万,,,,,,,,,,
具体性,3分で書いた文章,,,,,,,,,,
具体性,たった３時間,,,,,,,,,,
具体性,1000万プレイヤー,,,,,,,,,,
具体性,980円,,,,,,,,,,
具体性,3980円,,,,,,,,,,
具体性,実例とセット,,,,,,,,,,
具体性,厳選テーマ〇〇個,,,,,,,,,,
具体性,テーマ別タイトル〇〇案(○は数字),,,,,,,,,,
具体性,3ヶ月後,,,,,,,,,,
具体性,初心者の9割,,,,,,,,,,
具体性,「広告業界で30年以上」,,,,,,,,,,
具体性,「コピーライター／クリエイティブディレクター」,,,,,,,,,,
具体性,「部下の指導100名超」,,,,,,,,,,
具体性,「10の秘技」,,,,,,,,,,
具体性,「フレーズ300選」,,,,,,,,,,
具体性,「10の実践テクニック」,,,,,,,,,,
具体性,実績ゼロの会社員,,,,,,,,,,
具体性,3日で2.9万円,,,,,,,,,,
具体性,インプを10倍20倍,,,,,,,,,,
具体性,〇〇で実際に〇〇〇〇を作っている実演動画,,,,,,,,,,
権威性,売れる文章の原理原則,,,,,,,,,,
権威性,極意,,,,,,,,,,
権威性,感情にブッ刺す,,,,,,,,,,
権威性,あなたの虜に,,,,,,,,,,
権威性,実績0から初年度400万,,,,,,,,,,
権威性,収益化の方法,,,,,,,,,,
権威性,再現できる,,,,,,,,,,
権威性,1000万プレイヤーが使う,,,,,,,,,,
権威性,文章による信頼の勝ち取り方,,,,,,,,,,
権威性,感情と信頼を同時に伝える方法,,,,,,,,,,
権威性,技術,,,,,,,,,,
権威性,スタッフに棒読みさせて,,,,,,,,,,
権威性,1500以上のポストを分析,,,,,,,,,,
権威性・信頼性,巷で人気の,,,,,,,,,,
権威性・信頼性,稼げるジャンル,,,,,,,,,,
権威性・信頼性,需要ある市場,,,,,,,,,,
限定性,48時間限定,,,,,,,,,,
限定性,3日だけ無料,,,,,,,,,,
限定性,5日間限定,,,,,,,,,,
限定性,今だけ無料,,,,,,,,,,
限定性,次はありません,,,,,,,,,,
限定性,有料とします,,,,,,,,,,
限定性,超シークレット特典,,,,,,,,,,
限定性,3日間限定価格,,,,,,,,,,
限定性,○/〇 23:59まで,,,,,,,,,,
限定性,3日後には〇〇〇〇円に値上げ,,,,,,,,,,
限定性,「限定公開スペシャルコンテンツ2本立て」,,,,,,,,,,
限定性,「レビュー投稿者限定：4つの“超”お役立ち特典」,,,,,,,,,,
限定性,「有料エリアの特典受け取り方法をご案内」,,,,,,,,,,
限定性,総勢30名以上が実践,,,,,,,,,,
限定性,引用リツイートしていただいた方限定で,,,,,,,,,,
限定性,○日間限定で無料放出,,,,,,,,,,
再現性・構造系,たった3つのロジック,,,,,,,,,,
再現性・構造系,ビジネスの構造,,,,,,,,,,
再現性・構造系,原理原則,,,,,,,,,,
再現性・構造系,ロードマップ,,,,,,,,,,
再現性・構造系,結果を出してきた,,,,,,,,,,
再現性・構造系,実際に稼いだ人は何をしたのか,,,,,,,,,,
再現性・構造系,初心者でも即使えるレベルまで落とし込んで,,,,,,,,,,
再現性・構造系,ファンが勝手に増える方法をまとめた,,,,,,,,,,
再現性・構造系,投稿の伸び方が変わる,,,,,,,,,,
再現性・構造系,誰にでも作れる,,,,,,,,,,
時間・期間,5秒で,,,,,,,,,,
時間・期間,最初の３分で,,,,,,,,,,
時間・期間,48時間だけ無料配布,,,,,,,,,,
時間・期間,72時間無料閲覧可,,,,,,,,,,
時間・期間,5日間限定（5月27日まで）,,,,,,,,,,
時間・期間,"ながら""でも""なんど""でも聴ける",,,,,,,,,,
初心者向け,初心者,,,,,,,,,,
初心者向け,ガチ初心者,,,,,,,,,,
初心者向け,生徒さんもできた,,,,,,,,,,
初心者向け,０→１,,,,,,,,,,
初心者向け,速攻0→1,,,,,,,,,,
初心者向け,01突破の達人,,,,,,,,,,
初心者向け,「実績も経験も人脈もゼロ」,,,,,,,,,,
初心者向け,「何を書けばいいか分からず頭がフリーズ」,,,,,,,,,,
初心者向け,「何を始めればいいかさっぱりわからん」,,,,,,,,,,
初心者向け,「もう二度と騙されたくない」,,,,,,,,,,
初心者向け,「文章を書くのが壊滅的に下手」,,,,,,,,,,
初心者向け,「『初心者でも』が枕ことばなら疑った方がいい」,,,,,,,,,,
初心者向け,「力を身につけるのはあなた」,,,,,,,,,,
初心者向け,鬼シンプル,,,,,,,,,,
初心者向け,日本語がわかればできるレベル,,,,,,,,,,
初心者向け,長文のリード文に悩むことなくなる,,,,,,,,,,
初心者向け,ポストだけで,,,,,,,,,,
初心者向け,DMしなくても,,,,,,,,,,
初心者向け,初心者にも優しめAI設計,,,,,,,,,,
初心者向け・共感系,いいねは増えるのに売れない,,,,,,,,,,
初心者向け・共感系,フォロワーはいるのに誰も買わない,,,,,,,,,,
初心者向け・共感系,才能の問題じゃない,,,,,,,,,,
初心者向け・共感系,初心者の9割,,,,,,,,,,
初心者向け・共感系,最初につまずく,,,,,,,,,,
初心者向け・共感系,ネタ探し,,,,,,,,,,
初心者向け・共感系,書くことが思いつかない,,,,,,,,,,
初心者向け・共感系,手が止まる,,,,,,,,,,
常識破壊,「ライティングはAIにまかせれば良い！！でも・・・」,,,,,,,,,,
常識破壊,「時間をかければ良い文章が書けるという誤解」,,,,,,,,,,
常識破壊,「センスは天性だという思い込み（完全な思い込み）」,,,,,,,,,,
常識破壊,「オリジナリティにこだわると迷走する」,,,,,,,,,,
常識破壊,「心理テクニックの罠に要注意」,,,,,,,,,,
常識破壊,「スパイスだけで味付けするようなもの」,,,,,,,,,,
常識破壊,「文章でモノを売りたいなら『文章を書こうとするな！』」,,,,,,,,,,
常識破壊,「『初心者でも楽して』はオカルト」,,,,,,,,,,
常識破壊,「3クリック／コピペ／不労所得…それ全部疑え」,,,,,,,,,,
常識破壊,「祈ろうが祈るまいが、行動すれば勝手に成功する」,,,,,,,,,,
常識破壊,「清涼剤代わりの動画集ではありません」,,,,,,,,,,
常識破壊,イージーゲームになる,,,,,,,,,,
常識破壊,Xで頑張ってはいけない３つのこと,,,,,,,,,,
常識破壊,少フォロワーなのに1万を超えるインプをバンバン叩き出す,,,,,,,,,,
常識破壊,自分の強みとかいらない,,,,,,,,,,
常識破壊,知識とかいらない,,,,,,,,,,
常識破壊,オリジナルとか必要ない,,,,,,,,,,
常識破壊,AIとか使わずに超アナログな方法,,,,,,,,,,
常識破壊,バズらせることではなく反応される構造を作る,,,,,,,,,,
常識破壊,プロンプトゼロでOK,,,,,,,,,,
常識破壊,凍◯結しても復活できる,,,,,,,,,,
即効性・再現性,再現できる,,,,,,,,,,
即効性・再現性,自然に引き出せる,,,,,,,,,,
即効性・再現性,ベネフィットが無限に出てくる,,,,,,,,,,
即効性・再現性,量産できる,,,,,,,,,,
即効性・再現性,革命起きる,,,,,,,,,,
即効性・再現性,応用すればいくらでも化ける,,,,,,,,,,
即効性・再現性,即使える,,,,,,,,,,
即効性・再現性,止まらない・迷わない,,,,,,,,,,
即効性・再現性,5分以内に作れる,,,,,,,,,,
損失回避,疲弊せずに,,,,,,,,,,
損失回避,私が発信し始めた頃にいっちばん欲しかったもの,,,,,,,,,,
損失回避,100円コンテンツで頑張って0→1して疲れちゃった人,,,,,,,,,,
損失回避,SNS伸びてない人,,,,,,,,,,
損失回避,ネタ出し毎日しんどい,,,,,,,,,,
損失回避,AIまだ使いこなせてない,,,,,,,,,,
損失回避・恐怖訴求,断り文句が一切出なくなる,,,,,,,,,,
損失回避・恐怖訴求,前、似たようなので失敗した,,,,,,,,,,
損失回避・恐怖訴求,予算的に厳しくて,,,,,,,,,,
損失回避・恐怖訴求,3ヶ月後に発信が途絶える,,,,,,,,,,
損失回避・恐怖訴求,時間のない副業勢,,,,,,,,,,
損失回避・恐怖訴求,悩む時間,,,,,,,,,,
損失回避・恐怖訴求,なくしたもん勝ち,,,,,,,,,,
損失回避・恐怖訴求,「薄っぺらい文章を量産していないでしょうか？」,,,,,,,,,,
損失回避・恐怖訴求,「AIで書いたな、と瞬時に見抜かれ、読者は離脱」,,,,,,,,,,
損失回避・恐怖訴求,「信頼を失う」,,,,,,,,,,
損失回避・恐怖訴求,「一度失った信頼を取り戻すのは至難の業」,,,,,,,,,,
損失回避・恐怖訴求,「売り込み感や圧迫感を与える」,,,,,,,,,,
損失回避・恐怖訴求,「食傷気味」,,,,,,,,,,
損失回避・恐怖訴求,「AI検出ツール時代（検出ツールが怖い）」,,,,,,,,,,
変化・ベネフィット訴求,脳内を書き換える,,,,,,,,,,
変化・ベネフィット訴求,興味ない → 欲しい状態,,,,,,,,,,
