 ,投稿日時,テキスト,URL,imp,リプライ数,RT数,いいね数,引用数,投稿アプリ,@,名前,自己紹介,フォロー数,フォロワー数,ツイート数,アカウント作成日,
,2025/12/27 15:30,これは持論ですが、人に何かを教えるときに「怒る・キレる」というのは大体いい結果を及ぼしません。次から相談しづらくなるし、子供のように、悪いことを隠したりもし出します。ていうか昭和です。割と。もちろん、　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　関係性が成り立っている人や、「こいつスポコン系やな」と見極めた上で、そういった選択をとってるならありです。僕も、一部だけそういうスポコン系で接している人もいます。基本は承認。怒りやキレなしでも、承認でも基本的に人を変えることはできます。喝を入れるというのは、割と信頼関係の構築ができている相手がよいと思うわけです。,https://twitter.com/neko_presi/status/2004802038417568081,1943,2,0,58,0,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/27 08:13,ガチで何もない初心者におすすめの「稼ぎ方」を一つ伝授する。ノースキルでいける。それは――――――――――情報を「転売」する――――――――――という手法です。普通の「転売」は、1000円で買って3000円で売る。情報も、「転売」するという発想でいい。たとえば、ハル先生@gontaro397が最初に２、3万稼いだためにやったことは、「33000円で受けたコンサルを、1000円のnoteで販売した」ということだった。実質プラマイは売り上げゼロかもしれないけど、実績として初動は大きい。これも僕からすれば情報の「転売」である。なかなか発信で稼げない初心者って――――――――――この情報は「なんかお金になりそうだ」という嗅覚が足りなすぎる――――――――――と思っている。そんな情報が、結構落ちているし、なんなら教材だってお金になりそうな情報だったりする。では、そういった情報を、どう加工し、どう届けていくか。そこがけっこうキモになってくる。その辺のことは、僕のメルマガなりで語っているので、メルマガ登録して見てみるといいです。勉強になります。,https://twitter.com/neko_presi/status/2004691947651563739,10986,3,7,114,2,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/26 07:23,「いいことを発信してれば目に留まってもらえる」と思っている人がいるが、それは微妙な解釈です。正確には　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　――――――――――注目されるムーブ×いいこと言う――――――――――がよくて、この「注目されるムーブ」も、コツコツと一人一人ファン化していく的な動きが初心者は結構おすすめです。ここでいう「注目されるムーブ」は、いくつかパターンがあって①影響力借りちゃう②企画があたっちゃう③商品があたっちゃう④なんかバズっちゃう⑤やたら結果出してる⑥トレンドにのっかっちゃうとかがそれに当たるかなーという感じ。別に１から６全部やる必要なくて、どれかだけでもいいって感じ。僕は⑥はあんま好きじゃない。再現性薄いから。でも賢いよね。⑥って。つまり１、２、５あたりを頑張れば、別にいけるんだよね。超雑に言ってみたけど、この辺もっと知りたい？,https://twitter.com/neko_presi/status/2004316976571625812,3073,2,0,67,1,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/25 06:56,「すごい頑張ってるね！」とか僕の仕事姿を見て、たまに言われるわけですけど、僕からすれば、「後で楽になりたいがために今頑張ってるだけ」だったりします。楽したいんだよね。基本的に僕は。ずーっとダラダラしたいし、ずーっと島にいってダラダラ生活したいし、なにもしなくても1年遊びたい。だから今頑張ってるって感じ。ポストだって、この１週間楽をするために、２、3時間でポストを一気に作ったりするわけですし、基本的に楽したいし、頭から全てのことを手放していきたい、という欲の塊だったりします。「やらなきゃやらなきゃ」と焦る気持ちなど１ミリもいらないし、もし焦る気持ちがあるならば、それは「手放す」方法を知っておくべきと思います。,https://twitter.com/neko_presi/status/2003947794046804180,2757,2,0,63,3,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/24 07:48,「記憶は上塗りされるもの」です。仮に12ヶ月X運用してうんともすんとも言っていなくたって、13ヶ月目に「なんかいい動き」をして、Xでの運用があったまる & 収益がうまくいき出す、なんていう現象を、何度も目にしています。覚えておくといいのは　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　――――――――――人は「微妙だったこと」も、「いいこと」が上塗りする――――――――――-生き物と思う。記憶の書き換え。記憶の上塗り。有吉だって、・売れた　→　売れなくなった　→ また売れたと、その間「売れなくなった」という期間があったけど、毒舌がおもしれーとなったら、そんな「売れなくなった」時期のことなんて人は忘れているし、なんなら再評価される。そう、世間は、よほど血に落ちなければ、再評価をしてくれるものと思っている。だから、どっかで火がつくじゃないですが、実力を身につけ、しかるべきことをPDCA回しまくれば、基本的に人はうまく行くものと思ってはいます。,https://twitter.com/neko_presi/status/2003598492288143369,3078,0,0,41,1,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/23 15:44,偏見だけど、Xが上手い人ってのは「シェア欲」が強い人だとは思っていて、上手いラーメン屋連れて行って「これ美味くね？だろ！？」って言えるタイプの人は運用が上手いのです,https://twitter.com/neko_presi/status/2003356081570087188,723,0,0,31,0,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/23 15:36,最初はなんでもいいから稼げば、とは思う。しかし、心の違和感に蓋をしまくって動けなくなる人も多い。だから、情報選択には気をつけた方がいい。稼いでないうちなどは、訴求強すぎると吸い込まれるようにどこにでも行ってしまうけど、マジでそれがよくない。この人、と決めたら一直線であるべし。,https://twitter.com/neko_presi/status/2003353896190935451,1246,1,0,50,0,Twitter for iPhone,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/23 08:35,まぁ間違いなく思うのは、「交流」が必須の世界だったら僕はこの世界に入ってきていない。Xなんて見ていない。きもいから。交流を追い風にはできる。しかし必須ではない。別に淡々と「やるべきポスト」を発信し続ければ、売り上げは立つよ。僕の固定にあるメルマガでそういうのも学べるから見てみてください。,https://twitter.com/neko_presi/status/2003248057945899469,2378,0,0,57,1,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/22 22:01,くそぶっちゃけるけど、会社とかバイトで「仕事できる」的な感じで役職とか与えられるタイプの人は、Xでもやはり結果は出しやすいです。もし、自分が「仕事できない」タイプだと思ってるなら、3倍は努力しないと無理です。当たり前だけどね。,https://twitter.com/neko_presi/status/2003088621583425657,1628,1,0,62,0,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/22 07:33,「歌がめちゃくちゃ上手い人」が売れるわけではない。それと一緒で、「ポストがめちゃくちゃ上手い人」が一瞬で注目を集まるわけではない。①じわじわと人気を博すか②一気に人気を博すかこの２択って感じ。僕は②だった。,https://twitter.com/neko_presi/status/2002869941616123991,1905,4,0,51,0,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2026/01/01 06:21,僕が初めて「コンテンツビジネス」的な話を聞いたのは、「ある消防士の人が月１０００万円稼いでいる」という話だった。2019年ぐらいかな。そのときにリアルで知り合った人が、「僕の知り合いの消防士がオンラインで月1000稼いでいます」と言っていた。オンラインで？どうやって？と、当時ゴリゴリに建設系の仕事でゴリゴリに稼いでいた僕も、ネットやマーケの知識が０だったので、どういうことか意味不明だった。聞くと、「消防士に受かりたい人向けに塾をオンランでやっています」とのことだった。実は結構有名なサービスなんだけど、当時そんなことは知らなくて。「あーおれもそういうのやりたいな」と思っていた。しかし5年経って、今気づくと、その人と同じようなことを気づけば僕もやっていて、勝手に集客が行われ、勝手にオンラインで収益が得ている状態になっていた。夢は叶うってやつだろうか。そんな僕が最初にやったことは、「twitterを頑張る」「ココナラを頑張る」という超地味なことだった。ココナラで1000円の商品が売れて飛び跳ねていたり、Twitterでアフィったら１万円の商品がアフィリ決まったりして、ジャンプして喜んでいた。僕が賢いのは、そういった「月３万円のネットでの売り上げ」を、すぐにノウハウとして展開して販売し、それを月２０万円にした。僕は2ヶ月頑張ったら、月２０万円を稼げてしまったのです。と、こんな具合に、小さいものから実績を積み上げ、どんどん大きくしていく。どんなビジネスだって一緒です。そういうリアルな情報は、僕のメルマガで語っているので、ぜひメルマガを見て欲しい。,https://twitter.com/neko_presi/status/2006475700870754746,6749,1,1,70,2,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/31 15:27,「無理やり売るセールス」でゴリゴリ売上を立てるスタイルはとにかく周りからの評判が悪い。同業からも悪く言われているし、顧客も「なんか押されて入ってしまった」感が拭えないから、クレームやクーリングオフの率が極めて高い。情報商材系にも多いけど保険の営業マンでもそういう1億プレイヤーを軽く５人は見てきた。思うのは、そういう人たちはサイコパス系であって、結局自分の参考にはなりづらいし、微妙に幸せそうな顔をしていないので僕は「すごいなぁ」と思って傍観している。,https://twitter.com/neko_presi/status/2006250718575894663,922,1,0,45,0,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/31 09:24,この間２２歳で2億稼ぐ事業家が言ってたんだけど、「マーケティングかセールスかの二項対立ではなく、セールスを楽にするためにマーケティングがあると思っているし、２つの本質はかなり似ているから２つ同時に勉強すると解像度上がります」と言っていて、マジでそうだなと思った。,https://twitter.com/neko_presi/status/2006159366659911722,1789,0,0,37,2,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/31 07:15,「人見知りだけど社交的」とかいうmixiのコミュニティが昔あって、なんかやたら当時感動して入会した記憶があるんだけど、そういう「根はインキャだけど社会性はある」的な人はSNSは向いている。だって僕がそうだから。そういう人は発信向いているし、「あんまり表で言えないぶっちゃけたこと」とかを発信していくのって、楽しいし、それで人が集まるってすごくいい世界と思う。,https://twitter.com/neko_presi/status/2006126903397097864,1408,2,0,39,1,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/31 03:19,無理やり人の意思を曲げて買わせることを「マーケティング」と思っている人が多いんだけど、本来は「必要な人に最高なものを売るための流れを作ること」をマーケティングというはずです。心理操作をして、サイコパス的に煽り売らなくても億を稼ぐ事業家もたくさん見てきています。,https://twitter.com/neko_presi/status/2006067587264963026,896,0,2,41,0,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/30 07:10,僕は別に年末とか特に関係なくのらりと動くつもりです。普段から年末のような生活をすることもあるし、まぁやるときにやるって感じ。今年は年末年始を感じつつ、旅をしながら、パチパチ作業しようかなとも思っています。ちなみに、年末年始はチャンスと思ってもいます。僕が、twitter（X）の世界に入ったのは、1月3日だからです。仕事忙しすぎて31日まで働いて「このままじゃダメだろ」と思って年始に色々見てたら、気づいたらこの世界に入っていった経験を持っているからです。一念発起、がんばろと思う人って多いと思うので、逆張り的にこの時期にコンテンツを出したり、発信を頑張るのはありです。,https://twitter.com/neko_presi/status/2005763256439226427,1299,0,1,50,0,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/29 18:26,SNSやコンテンツ販売で結果を出したいなら、「これは流石に誰か役に立つだろう」と、「誰か」を勝手に想像して興奮する必要があります。僕も、妄想でいろんなものを企画し、表に出しまくっていました。最初は特に、反応なんてなかった。でもそれをどんどん続けた。気づいていないだけで、表面に出ていないだけで、誰か役に立っているという確信と妄想があったから。思うに、ネットで稼ぐ人はこの「妄想力」に長けているのです。,https://twitter.com/neko_presi/status/2005571115234865528,1700,0,1,60,1,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/29 06:08,「バックエンドの売り方」とかよくわかんねーって感じだったし、なんか「今決めてください」セールスするの嫌いだし、なんか方法ないかねーと思って生み出したものを開発して、それを生徒にシェアしたらバッキバキにバックエンドが「勝手に」決まるようになったのです。セールス未経験者や、学生とかにセールスやらせると、まじでろくなことがない（まじで）。だからねこシステムは強い。違和感なく、普通の人でもちゃんとやれば結果が出るっていう再現性を追求して形にしている人が、はたしてどのくらいいるのだろうか。いや、いないのではないだろうか。,https://twitter.com/neko_presi/status/2005385423963767157,2000,2,0,53,0,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/28 21:00,まぁ、価値あること言ってれば、収益化できるよ。Xは。,https://twitter.com/neko_presi/status/2005247359492456719,851,0,0,37,0,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/28 07:26,僕、スピ系の人から評判いいんだよね。対面で会った人からは、「いいオーラ発してるねぇ」的なことをよく言われます。これ結構、X頑張ってる人に必要なものだと思うんですけどね。だってさ、リアルであっても「なんか暗いなこの人」とか、「なんかオーラないな」って思うと残念じゃん。,https://twitter.com/neko_presi/status/2005042507173052905,1100,1,0,50,0,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
